feature,importance,pct_importance
max km one day.2_std_14d,0,0.0
max km one day.2_max_14d,0,0.0
max km one day.2_min_14d,0,0.0
max km Z5-T1-T2 one day.2_std_14d,0,0.0
total hours alternative training.2_mean_14d,0,0.0
rel total kms week 0_2_max_14d,0,0.0
total hours alternative training.2_std_14d,0,0.0
min training success.2_min_14d,0,0.0
max training success.2_mean_14d,0,0.0
max training success.2_std_14d,0,0.0
max training success.2_max_14d,0,0.0
max training success.2_min_14d,0,0.0
avg recovery.2_mean_14d,0,0.0
avg recovery.2_std_14d,0,0.0
avg recovery.2_max_14d,0,0.0
avg recovery.2_min_14d,0,0.0
min recovery.2_mean_14d,0,0.0
min recovery.2_std_14d,0,0.0
min recovery.2_max_14d,0,0.0
min recovery.2_min_14d,0,0.0
min training success_max_28d,0,0.0
max recovery.2_max_14d,0,0.0
max recovery.2_min_14d,0,0.0
rel total kms week 0_1_mean_14d,0,0.0
rel total kms week 0_1_max_14d,0,0.0
rel total kms week 0_1_min_14d,0,0.0
rel total kms week 0_2_mean_14d,0,0.0
rel total kms week 0_2_std_14d,0,0.0
min training success.2_max_14d,0,0.0
min training success.2_std_14d,0,0.0
min training success.2_mean_14d,0,0.0
avg exertion.2_min_14d,0,0.0
total hours alternative training.2_max_14d,0,0.0
total hours alternative training.2_min_14d,0,0.0
nr. strength trainings.2_mean_14d,0,0.0
nr. strength trainings.2_std_14d,0,0.0
nr. strength trainings.2_max_14d,0,0.0
nr. strength trainings.2_min_14d,0,0.0
avg exertion.2_mean_14d,0,0.0
avg exertion.2_std_14d,0,0.0
avg exertion.2_max_14d,0,0.0
min exertion.2_mean_14d,0,0.0
avg training success.2_min_14d,0,0.0
min exertion.2_std_14d,0,0.0
min exertion.2_max_14d,0,0.0
max exertion.2_mean_14d,0,0.0
max exertion.2_std_14d,0,0.0
max exertion.2_max_14d,0,0.0
max exertion.2_min_14d,0,0.0
avg training success.2_mean_14d,0,0.0
avg training success.2_std_14d,0,0.0
avg training success.2_max_14d,0,0.0
max recovery.2_std_14d,0,0.0
